institution,slug,country,continent,repository_code,archive_type,cineam_detail_url,content_available_in_source,website_available,partner_site,platform,video_link,video_title,video_subject,video_description,video_published_at,video_title_display,video_date_display,video_theme,access_surface
CINÉAM,cineam,France,Europe,FR-CINEAM,Institutional amateur film and audiovisual archive,https://www.cineam.asso.fr/,True,True,https://www.cineam.asso.fr/exploration-905-0-0-0.html,CINÉAM,https://diazcineam.oembed.diazinteregio.org/video/STOJANOVIC/0302FI0037.mp4,Famille et rosiers,Dušanka STOJANOVIC; Serbie Fleur Immigration Réunion de famille Jardin Ferme (bâtiment),"Registro público do catálogo CINÉAM / DiazInteregio. | realização: Dušanka STOJANOVIC | formato: Film super 8 | som: Muet | coloração: Couleur | duração: 00:03:23 | descritores: Serbie Fleur Immigration Réunion de famille Jardin Ferme (bâtiment) | embed: https://diazcineam.oembed.diazinteregio.org/embed/STOJANOVIC/0302FI0037?feature=oembed | fonte de vídeo: video/mp4 | Contexte : La réalisatrice Dušanka Stojanovic est partie de Serbie à l’âge de 28 ans en 1967. Elle rencontre son mari dans un atelier de couture, puis ils montent leur propre atelier rue Jean Pierre Timbaud à Paris. Elle s’achète une caméra Super 8. Ils vivent rue de Belleville. Choc pétrolier, à la fin des années 70, l’atelier ne tient plus. En été, la famille nombreuse retourne dans le petit village natal de Dušanka pour retrouver la famille restée au pays. Résumé : En Serbie, la famille de Dušanka et d’autres membres de la famille sont rassemblés dans un jardin pleins de rosiers rouges, roses et blancs. Dans la ferme familiale, plusieurs personnes posent devant la caméra : un homme d’âge moyen qui salue et un groupe de deux femmes d’âge moyen ainsi qu’une jeune femme fumant une cigarette. Dušanka, son mari et sa fille aînée posent avec l’homme et une des deux femmes d’âge moyen.",1982,Famille et rosiers,1982-01-01,Filme amador e memória familiar,Arquivo audiovisual institucional
CINÉAM,cineam,France,Europe,FR-CINEAM,Institutional amateur film and audiovisual archive,https://www.cineam.asso.fr/,True,True,https://www.cineam.asso.fr/exploration-905-0-0-0.html,CINÉAM,https://diazcineam.oembed.diazinteregio.org/video/STOJANOVIC/0302FI0034.mp4,"Jardin, poulailler et plaines environnantes au pays",Dušanka STOJANOVIC; Serbie Poule Immigration Paysage rural Poulailler Travail à la ferme,"Registro público do catálogo CINÉAM / DiazInteregio. | realização: Dušanka STOJANOVIC | formato: Film super 8 | som: Muet | coloração: Couleur | duração: 00:03:20 | descritores: Serbie Poule Immigration Paysage rural Poulailler Travail à la ferme | embed: https://diazcineam.oembed.diazinteregio.org/embed/STOJANOVIC/0302FI0034?feature=oembed | fonte de vídeo: video/mp4 | Contexte : La réalisatrice Dušanka Stojanovic est partie de Serbie à l’âge de 28 ans en 1967. Elle rencontre son mari dans un atelier de couture, puis ils montent leur propre atelier rue Jean Pierre Timbaud à Paris. Elle s’achète une caméra Super 8. Ils vivent rue de Belleville. Choc pétrolier, à la fin des années 70, l’atelier ne tient plus. En été, la famille nombreuse retourne dans le petit village natal de Dušanka pour retrouver la famille restée au pays. Résumé : Panoramique du paysage autour de la ferme familiale en Serbie. Un couple de personnes plus ou moins âgées (environ la soixantaine) ainsi que des enfants dont les filles de Dušanka marchent pour rejoindre le jardin. L’homme ramasse des herbes à la fourche, sa femme le rejoint puis il fait mine de la coucher sur le tas d’herbe pour blaguer avant de poursuivre son travail. Dušanka et la femme pose devant la caméra avec un pet...",1978,"Jardin, poulailler et plaines environnantes au pays",1978-01-01,Filme amador e memória familiar,Arquivo audiovisual institucional
CINÉAM,cineam,France,Europe,FR-CINEAM,Institutional amateur film and audiovisual archive,https://www.cineam.asso.fr/,True,True,https://www.cineam.asso.fr/exploration-905-0-0-0.html,CINÉAM,https://diazcineam.oembed.diazinteregio.org/video/STOJANOVIC/0302FI0022.mp4,"Moulins, nichoirs et anniversaire",Dušanka STOJANOVIC; Instrument de musique Accordéon Moulin à vent Gâteau d'anniversaire Repas de famille,"Registro público do catálogo CINÉAM / DiazInteregio. | realização: Dušanka STOJANOVIC | formato: Film super 8 | som: Muet | coloração: Couleur | duração: 00:03:25 | descritores: Instrument de musique Accordéon Moulin à vent Gâteau d'anniversaire Repas de famille | embed: https://diazcineam.oembed.diazinteregio.org/embed/STOJANOVIC/0302FI0022?feature=oembed | fonte de vídeo: video/mp4 | Contexte : Dušanka est partie de Serbie à l’âge de 28 ans en 1967. Elle rencontre son mari dans un atelier de couture, puis ils montent leur propre atelier rue Jean Pierre Timbaud à Paris. Elle s’achète une caméra Super 8. Ils vivent rue de Belleville. Choc pétrolier, fin 70, l’atelier ne tient plus. En été, la famille nombreuse retourne dans le petit village natal de Dušanka pour retrouver leurs aïeuls. Résumé : La famille de Dušanka visite une sorte d’exposition de moulins à vent. Dans l’appartement, les filles sont assises sur le canapé et la petite dernière joue avec un faux accordéon devant un gâteau d’anniversaire. Elles portent toutes les deux un t-shirt orange et une jupe blanche. L’aînée joue avec un faux ukulélé. D’autres membres de la famille sont présents, installés autour du gâteau et boivent des verres.",1976,"Moulins, nichoirs et anniversaire",1976-01-01,Filme amador e memória familiar,Arquivo audiovisual institucional
CINÉAM,cineam,France,Europe,FR-CINEAM,Institutional amateur film and audiovisual archive,https://www.cineam.asso.fr/,True,True,https://www.cineam.asso.fr/exploration-905-0-0-0.html,CINÉAM,https://diazcineam.oembed.diazinteregio.org/video/STOJANOVIC/0302FI0017.mp4,Enfants jouent sur le balcon,Dušanka STOJANOVIC; Jeu d'enfant Peluche Poupée,"Registro público do catálogo CINÉAM / DiazInteregio. | realização: Dušanka STOJANOVIC | formato: Film super 8 | som: Muet | coloração: Couleur | duração: 00:03:21 | descritores: Jeu d'enfant Peluche Poupée | embed: https://diazcineam.oembed.diazinteregio.org/embed/STOJANOVIC/0302FI0017?feature=oembed | fonte de vídeo: video/mp4 | Contexte : Dušanka est partie de Serbie à l’âge de 28 ans en 1967. Elle rencontre son mari dans un atelier de couture, puis ils montent leur propre atelier rue Jean Pierre Timbaud à Paris. Elle s’achète une caméra Super 8. Ils vivent rue de Belleville. Choc pétrolier, fin 70, l’atelier ne tient plus. En été, la famille nombreuse retourne dans le petit village natal de Dušanka pour retrouver leurs aïeuls. Résumé : Les deux filles de Dušanka portent le même t-shirt blanc à motifs oranges de gouvernail de bateau et jouent sur le balcon de l’appartement rue de Belleville. Du linge sèche autour d’elles et elles s’amusent à laver leurs petites poupées dans une bassine. Ces figurines articulées ressemblent aux mini poupées Barbie vendues par Mattel durant la deuxième moitié des années 1970. L’aînée montre son ours en peluche puis les deux filles posent seules, le même chapeau de paille à ruban...",1975,Enfants jouent sur le balcon,1975-01-01,Filme amador e memória familiar,Arquivo audiovisual institucional
CINÉAM,cineam,France,Europe,FR-CINEAM,Institutional amateur film and audiovisual archive,https://www.cineam.asso.fr/,True,True,https://www.cineam.asso.fr/exploration-905-0-0-0.html,CINÉAM,https://diazcineam.oembed.diazinteregio.org/video/STOJANOVIC/0302FI0019.mp4,Famille en appartement,Dušanka STOJANOVIC; Cirque (spectacle) Télévision (activité) Réunion de famille Acrobatie (loisir),"Registro público do catálogo CINÉAM / DiazInteregio. | realização: Dušanka STOJANOVIC | formato: Film super 8 | som: Muet | coloração: Couleur | duração: 00:03:26 | descritores: Cirque (spectacle) Télévision (activité) Réunion de famille Acrobatie (loisir) | embed: https://diazcineam.oembed.diazinteregio.org/embed/STOJANOVIC/0302FI0019?feature=oembed | fonte de vídeo: video/mp4 | Contexte : Dušanka est partie de Serbie à l’âge de 28 ans en 1967. Elle rencontre son mari dans un atelier de couture, puis ils montent leur propre atelier rue Jean Pierre Timbaud à Paris. Elle s’achète une caméra Super 8. Ils vivent rue de Belleville. Choc pétrolier, fin 70, l’atelier ne tient plus. En été, la famille nombreuse retourne dans le petit village natal de Dušanka pour retrouver leurs aïeuls. Résumé : La benjamine de Dušanka fait un V avec ses doigts et rit avec l’adolescente qui vit chez elle. L’aînée des filles râle, pleure et se niche dans les bras de son père. Sa petite sœur vient l’embrasser. Devant la télévision où une femme chante dans une émission en noir et blanc, dos à celle-ci, Dušanka pose avec ses deux filles qui portent les mêmes vêtements, un pantalon noir, une chemise blanche sous un pull blanc ainsi qu’une médaille de baptême autour du cou. A la télévision,...",1975,Famille en appartement,1975-01-01,Filme amador e memória familiar,Arquivo audiovisual institucional
CINÉAM,cineam,France,Europe,FR-CINEAM,Institutional amateur film and audiovisual archive,https://www.cineam.asso.fr/,True,True,https://www.cineam.asso.fr/exploration-905-0-0-0.html,CINÉAM,https://diazcineam.oembed.diazinteregio.org/video/STOJANOVIC/0302FI0018.mp4,Fête d'anniversaire pour les 5 ans,Dušanka STOJANOVIC; Gâteau d'anniversaire Repas de famille,"Registro público do catálogo CINÉAM / DiazInteregio. | realização: Dušanka STOJANOVIC | formato: Film super 8 | som: Muet | coloração: Couleur | duração: 00:03:25 | descritores: Gâteau d'anniversaire Repas de famille | embed: https://diazcineam.oembed.diazinteregio.org/embed/STOJANOVIC/0302FI0018?feature=oembed | fonte de vídeo: video/mp4 | Contexte : Dušanka est partie de Serbie à l’âge de 28 ans en 1967. Elle rencontre son mari dans un atelier de couture, puis ils montent leur propre atelier rue Jean Pierre Timbaud à Paris. Elle s’achète une caméra Super 8. Ils vivent rue de Belleville. Choc pétrolier, fin 70, l’atelier ne tient plus. En été, la famille nombreuse retourne dans le petit village natal de Dušanka pour retrouver leurs aïeuls. Résumé : Dušanka, son mari et leurs filles sont accompagnés de jeunes membres de leur famille pour partager un repas d’anniversaire, le cinquième de leur fille aînée, et notamment le gâteau qui trône au milieu de la table. Les filles de Dušanka sont toujours habillées de la même manière, une chemise blanche à manches longues sous une robe noire à bretelles fleurie. Tout le monde trinque avec l’aînée.",1975,Fête d'anniversaire pour les 5 ans,1975-01-01,Filme amador e memória familiar,Arquivo audiovisual institucional
CINÉAM,cineam,France,Europe,FR-CINEAM,Institutional amateur film and audiovisual archive,https://www.cineam.asso.fr/,True,True,https://www.cineam.asso.fr/exploration-905-0-0-0.html,CINÉAM,https://diazcineam.oembed.diazinteregio.org/video/STOJANOVIC/0302FI0021.mp4,Les enfants jouent dans l'herbe,Dušanka STOJANOVIC; Parc Pique-nique Repas de famille,"Registro público do catálogo CINÉAM / DiazInteregio. | realização: Dušanka STOJANOVIC | formato: Film super 8 | som: Muet | coloração: Couleur | duração: 00:03:21 | descritores: Parc Pique-nique Repas de famille | embed: https://diazcineam.oembed.diazinteregio.org/embed/STOJANOVIC/0302FI0021?feature=oembed | fonte de vídeo: video/mp4 | Contexte : Dušanka est partie de Serbie à l’âge de 28 ans en 1967. Elle rencontre son mari dans un atelier de couture, puis ils montent leur propre atelier rue Jean Pierre Timbaud à Paris. Elle s’achète une caméra Super 8. Ils vivent rue de Belleville. Choc pétrolier, fin 70, l’atelier ne tient plus. En été, la famille nombreuse retourne dans le petit village natal de Dušanka pour retrouver leurs aïeuls. Résumé : La famille pique-nique dans un parc. Ils sont assis sur l’herbe. Une jeune femme les accompagne ainsi que l’adolescente qui vit avec Dušanka et sa famille. Laissant la nappe et les restes du pique-nique derrière eux, Dušanka, son mari et leurs deux filles posent devant la caméra. Les filles ont des tenues assorties : un t-shirt manches longues orange sous une robe salopette bleue. Dušanka porte une longue robe bleue et orange à bretelles, assortie aux vêtements de ses filles.",1975,Les enfants jouent dans l'herbe,1975-01-01,Filme amador e memória familiar,Arquivo audiovisual institucional
CINÉAM,cineam,France,Europe,FR-CINEAM,Institutional amateur film and audiovisual archive,https://www.cineam.asso.fr/,True,True,https://www.cineam.asso.fr/exploration-905-0-0-0.html,CINÉAM,https://diazcineam.oembed.diazinteregio.org/video/STOJANOVIC/0302FI0013.mp4,Belleville,Dušanka STOJANOVIC; Paris (75) Rue Mode Vêtement,"Registro público do catálogo CINÉAM / DiazInteregio. | realização: Dušanka STOJANOVIC | formato: Film super 8 | som: Muet | coloração: Couleur | duração: 00:03:25 | descritores: Paris (75) Rue Mode Vêtement | embed: https://diazcineam.oembed.diazinteregio.org/embed/STOJANOVIC/0302FI0013?feature=oembed | fonte de vídeo: video/mp4 | Contexte : Dusanka est partie de Serbie à l’âge de 28 ans en 1967. Elle rencontre son mari dans un atelier de couture, puis ils montent leur propre atelier rue Jean Pierre Timbaud à Paris. Elle s’achète une caméra Super 8. Ils vivent rue de Belleville. Choc pétrolier, fin 70, l’atelier ne tient plus. En été, la famille nombreuse retourne dans le petit village natal de Dusanka pour retrouver leurs aïeuls. Résumé : Vues de la rue de Belleville à Paris où vit Dusanka et sa famille. Vues de la rue Bisson. Un homme et une femme discute devant la caméra, ils sont vêtus de manteaux. Au bout de la rue, une enseigne en lettrage rouge sur fond blanc qui apparaît aussi dans d’autres films. D’autres personnes apparaissent devant la caméra et font signe. Le couple du début monte ensuite dans un taxi. NOIR Un autre couple pose devant une camionnette blanche et orange floquée “S.A.C.C.” dont l’adresse...",1974,Belleville,1974-01-01,Filme amador e memória familiar,Arquivo audiovisual institucional
CINÉAM,cineam,France,Europe,FR-CINEAM,Institutional amateur film and audiovisual archive,https://www.cineam.asso.fr/,True,True,https://www.cineam.asso.fr/exploration-905-0-0-0.html,CINÉAM,https://diazcineam.oembed.diazinteregio.org/video/STOJANOVIC/0302FI0015.mp4,Famille dans l'appartement,Dušanka STOJANOVIC; Télévision (activité) Réunion de famille,"Registro público do catálogo CINÉAM / DiazInteregio. | realização: Dušanka STOJANOVIC | formato: Film super 8 | som: Muet | coloração: Couleur | duração: 00:03:25 | descritores: Télévision (activité) Réunion de famille | embed: https://diazcineam.oembed.diazinteregio.org/embed/STOJANOVIC/0302FI0015?feature=oembed | fonte de vídeo: video/mp4 | Contexte : Dušanka est partie de Serbie à l’âge de 28 ans en 1967. Elle rencontre son mari dans un atelier de couture, puis ils montent leur propre atelier rue Jean Pierre Timbaud à Paris. Elle s’achète une caméra Super 8. Ils vivent rue de Belleville. Choc pétrolier, fin 70, l’atelier ne tient plus. En été, la famille nombreuse retourne dans le petit village natal de Dušanka pour retrouver leurs aïeuls. Résumé : Les filles de Dušanka sont habillées de la même manière, en petites robes noires brodées de fleurs au niveau de la poitrine. À la télévision, Nana Mouskouri chante dans une émission diffusée en noir et blanc. D’autres membres de la famille sont installés sur le canapé et sur des chaises, deux adolescentes sont très complices, assises l’une à côté de l’autre tandis que Dušanka est assise sur une chaise en face avec sa benjamine sur les genoux et l’aînée à côté.",1974,Famille dans l'appartement,1974-01-01,Filme amador e memória familiar,Arquivo audiovisual institucional
CINÉAM,cineam,France,Europe,FR-CINEAM,Institutional amateur film and audiovisual archive,https://www.cineam.asso.fr/,True,True,https://www.cineam.asso.fr/exploration-905-0-0-0.html,CINÉAM,https://diazcineam.oembed.diazinteregio.org/video/STOJANOVIC/0302FI0020.mp4,Les filles et leur dinette,Dušanka STOJANOVIC; Noël Réunion de famille Jeu d'enfant,"Registro público do catálogo CINÉAM / DiazInteregio. | realização: Dušanka STOJANOVIC | formato: Film super 8 | som: Muet | coloração: Couleur | duração: 00:03:23 | descritores: Noël Réunion de famille Jeu d'enfant | embed: https://diazcineam.oembed.diazinteregio.org/embed/STOJANOVIC/0302FI0020?feature=oembed | fonte de vídeo: video/mp4 | Contexte : Dušanka est partie de Serbie à l’âge de 28 ans en 1967. Elle rencontre son mari dans un atelier de couture, puis ils montent leur propre atelier rue Jean Pierre Timbaud à Paris. Elle s’achète une caméra Super 8. Ils vivent rue de Belleville. Choc pétrolier, fin 70, l’atelier ne tient plus. En été, la famille nombreuse retourne dans le petit village natal de Dušanka pour retrouver leurs aïeuls. Résumé : Les filles de Dušanka ont des tenues assorties : chemise bleue sous une robe noire brodée de liserés blancs et fleurs rouges. Toute la famille est réunie et regarde les fillettes déballer leur cadeau de Noël, une dinette. Dušanka joue avec ses filles, elles font semblant de boire le thé.",1974,Les filles et leur dinette,1974-01-01,Filme amador e memória familiar,Arquivo audiovisual institucional
CINÉAM,cineam,France,Europe,FR-CINEAM,Institutional amateur film and audiovisual archive,https://www.cineam.asso.fr/,True,True,https://www.cineam.asso.fr/exploration-905-0-0-0.html,CINÉAM,https://diazcineam.oembed.diazinteregio.org/video/STOJANOVIC/0302FI0016.mp4,Renault 4L et famille en bord de route,Dušanka STOJANOVIC; Vie de famille Mode Vêtement Avion Renault 4L,"Registro público do catálogo CINÉAM / DiazInteregio. | realização: Dušanka STOJANOVIC | formato: Film super 8 | som: Muet | coloração: Couleur | duração: 00:03:23 | descritores: Vie de famille Mode Vêtement Avion Renault 4L | embed: https://diazcineam.oembed.diazinteregio.org/embed/STOJANOVIC/0302FI0016?feature=oembed | fonte de vídeo: video/mp4 | Contexte : Dušanka est partie de Serbie à l’âge de 28 ans en 1967. Elle rencontre son mari dans un atelier de couture, puis ils montent leur propre atelier rue Jean Pierre Timbaud à Paris. Elle s’achète une caméra Super 8. Ils vivent rue de Belleville. Choc pétrolier, fin 70, l’atelier ne tient plus. En été, la famille nombreuse retourne dans le petit village natal de Dušanka pour retrouver leurs aïeuls. Résumé : Un avion survole le champ au bord duquel Dušanka et sa famille ont garé leur Renault 4L, sur le bas-côté d’une route de campagne. Ils sont six, Dušanka, son mari, leur deux filles, l’adolescente qui vit avec eux ainsi qu’une autre adolescente. Ces dernières sont vêtues quasiment de la même manière avec une chemise blanche manches longues et un pull sans manche noir. L’une porte un pantalon pattes d’eph et l’autre une jupe noire fleurie. Dušanka et ses filles ont aussi des tenue...",1974,Renault 4L et famille en bord de route,1974-01-01,Filme amador e memória familiar,Arquivo audiovisual institucional
CINÉAM,cineam,France,Europe,FR-CINEAM,Institutional amateur film and audiovisual archive,https://www.cineam.asso.fr/,True,True,https://www.cineam.asso.fr/exploration-905-0-0-0.html,CINÉAM,https://diazcineam.oembed.diazinteregio.org/video/STOJANOVIC/0302FI0009.mp4,Second anniversaire en intérieur,Dušanka STOJANOVIC; Gâteau d'anniversaire Repas de famille,"Registro público do catálogo CINÉAM / DiazInteregio. | realização: Dušanka STOJANOVIC | formato: Film super 8 | som: Muet | coloração: Couleur | duração: 00:03:22 | descritores: Gâteau d'anniversaire Repas de famille | embed: https://diazcineam.oembed.diazinteregio.org/embed/STOJANOVIC/0302FI0009?feature=oembed | fonte de vídeo: video/mp4 | Contexte : Dusanka est partie de Serbie à l’âge de 28 ans en 1967. Elle rencontre son mari dans un atelier de couture, puis ils montent leur propre atelier rue Jean Pierre Timbaud à Paris. Elle s’achète une caméra Super 8. Ils vivent rue de Belleville. Choc pétrolier, fin 70, l’atelier ne tient plus. En été, la famille nombreuse retourne dans le petit village natal de Dusanka pour retrouver leurs aïeuls. Résumé : Toute la famille est réunie (père, mère, les deux filles et l’adolescente qui vit avec eux) sur le canapé dans le salon. L’aînée des filles fête son troisième anniversaire (trois bougies sur le gâteau) et tout le monde mange et boit.",1974,Second anniversaire en intérieur,1974-01-01,Filme amador e memória familiar,Arquivo audiovisual institucional
CINÉAM,cineam,France,Europe,FR-CINEAM,Institutional amateur film and audiovisual archive,https://www.cineam.asso.fr/,True,True,https://www.cineam.asso.fr/exploration-905-0-0-0.html,CINÉAM,https://diazcineam.oembed.diazinteregio.org/video/STOJANOVIC/0302FI0012.mp4,Suite troisème anniversaire en appartement,Dušanka STOJANOVIC; Réunion de famille Gâteau d'anniversaire,"Registro público do catálogo CINÉAM / DiazInteregio. | realização: Dušanka STOJANOVIC | formato: Film super 8 | som: Muet | coloração: Couleur | duração: 00:03:25 | descritores: Réunion de famille Gâteau d'anniversaire | embed: https://diazcineam.oembed.diazinteregio.org/embed/STOJANOVIC/0302FI0012?feature=oembed | fonte de vídeo: video/mp4 | Contexte : Dusanka est partie de Serbie à l’âge de 28 ans en 1967. Elle rencontre son mari dans un atelier de couture, puis ils montent leur propre atelier rue Jean Pierre Timbaud à Paris. Elle s’achète une caméra Super 8. Ils vivent rue de Belleville. Choc pétrolier, fin 70, l’atelier ne tient plus. En été, la famille nombreuse retourne dans le petit village natal de Dusanka pour retrouver leurs aïeuls. Résumé : La famille est réunie dans l’appartement pour fêter l’anniversaire de l’aînée des filles de Dusanka. Celle-ci est sur les genoux de son grand-père et tous les adultes autour de la table trinquent avec des verres d’alcool. Ils mangent également. La lumière de la caméra aveugle légèrement les invités qui plissent les yeux dès que l’objectif tend vers eux.",1974,Suite troisème anniversaire en appartement,1974-01-01,Filme amador e memória familiar,Arquivo audiovisual institucional
CINÉAM,cineam,France,Europe,FR-CINEAM,Institutional amateur film and audiovisual archive,https://www.cineam.asso.fr/,True,True,https://www.cineam.asso.fr/exploration-905-0-0-0.html,CINÉAM,https://diazcineam.oembed.diazinteregio.org/video/STOJANOVIC/0302FI0010.mp4,Troisième anniversaire en intérieur,Dušanka STOJANOVIC; Enfant Réunion de famille Gâteau d'anniversaire,"Registro público do catálogo CINÉAM / DiazInteregio. | realização: Dušanka STOJANOVIC | formato: Film super 8 | som: Muet | coloração: Couleur | duração: 00:03:34 | descritores: Enfant Réunion de famille Gâteau d'anniversaire | embed: https://diazcineam.oembed.diazinteregio.org/embed/STOJANOVIC/0302FI0010?feature=oembed | fonte de vídeo: video/mp4 | Contexte : Dusanka est partie de Serbie à l’âge de 28 ans en 1967. Elle rencontre son mari dans un atelier de couture, puis ils montent leur propre atelier rue Jean Pierre Timbaud à Paris. Elle s’achète une caméra Super 8. Ils vivent rue de Belleville. Choc pétrolier, fin 70, l’atelier ne tient plus. En été, la famille nombreuse retourne dans le petit village natal de Dusanka pour retrouver leurs aïeuls. Résumé : Dans l’appartement à Paris, toute la famille est réunie pour le troisième anniversaire de la fille aînée de Dusanka. Cette dernière est assise sur les genoux de son grand-père, son gâteau d’anniversaire devant elle. Les invités ont l’air particulièrement gênés par la lumière de la caméra lorsque Dusanka les filme. Son mari lui fait même signe d’arrêter tout en lui tournant le dos.",1974,Troisième anniversaire en intérieur,1974-01-01,Filme amador e memória familiar,Arquivo audiovisual institucional
CINÉAM,cineam,France,Europe,FR-CINEAM,Institutional amateur film and audiovisual archive,https://www.cineam.asso.fr/,True,True,https://www.cineam.asso.fr/exploration-905-0-0-0.html,CINÉAM,https://diazcineam.oembed.diazinteregio.org/video/STOJANOVIC/0302FI0008.mp4,Au pays : les enfants dans la cour de la ferme,Dušanka STOJANOVIC; Serbie Animal de la ferme Porc Immigration Vie de famille Vêtement,"Registro público do catálogo CINÉAM / DiazInteregio. | realização: Dušanka STOJANOVIC | formato: Film super 8 | som: Muet | coloração: Couleur | duração: 00:03:34 | descritores: Serbie Animal de la ferme Porc Immigration Vie de famille Vêtement | embed: https://diazcineam.oembed.diazinteregio.org/embed/STOJANOVIC/0302FI0008?feature=oembed | fonte de vídeo: video/mp4 | Contexte : La réalisatrice Dušanka Stojanovic est partie de Serbie à l’âge de 28 ans en 1967. Elle rencontre son mari dans un atelier de couture, puis ils montent leur propre atelier rue Jean Pierre Timbaud à Paris. Elle s’achète une caméra Super 8. Ils vivent rue de Belleville. Choc pétrolier, à la fin des années 70, l’atelier ne tient plus. En été, la famille nombreuse retourne dans le petit village natal de Dušanka pour retrouver la famille restée au pays. Résumé : Les filles sont habillées avec des minirobes oranges à carreaux blancs. Elles tiennent la main d’autres enfants d’environ le même âge. Ils avancent vers la caméra. Dans une cour, les mêmes enfants jouent et sont surveillés par un couple, la femme porte un bébé dans ses bras. Les enfants sont mis en rang d’oignon devant la caméra, l’aînée prend un porcelet dans ses bras. NOIR Changement de décor, les filles sont dans un jar...",1973,Au pays : les enfants dans la cour de la ferme,1973-01-01,Filme amador e memória familiar,Arquivo audiovisual institucional
