institution,slug,country,continent,repository_code,archive_type,cinematek_detail_url,content_available_in_source,website_available,partner_site,platform,video_link,video_title,video_subject,video_description,video_published_at,video_title_display,video_date_display,video_theme,access_surface
Cinémathèque royale de Belgique / CINEMATEK,cin-math-que-royale-de-belgique-cinematek,Belgium,Europe,BE-CINEMATEK,National cinematheque and external streaming access routes,https://cinematek.be/en/collections/film,True,True,https://cinematek.be/en/collections/be-film,CINEMATEK@HOME,https://stream.sooner.be/search/Any%20Way%20the%20Wind%20Blows/type/best-match/m/any-way-the-wind-blows,Any Way The Wind Blows,CINEMATEK@HOME; Sooner,"Rota oficial CINEMATEK@HOME para filme restaurado em plataforma externa. Acesso mediado por Sooner; sinais de assinatura, aluguel, compra ou login devem ser tratados como restrição/autenticação, não como acervo aberto direto.",,Any Way The Wind Blows,,Patrimônio cinematográfico e cinefilia,Streaming pago/autenticado em plataforma externa
Cinémathèque royale de Belgique / CINEMATEK,cin-math-que-royale-de-belgique-cinematek,Belgium,Europe,BE-CINEMATEK,National cinematheque and external streaming access routes,https://cinematek.be/en/collections/film,True,True,https://cinematek.be/en/collections/be-film,CINEMATEK@HOME,https://www.avilafilm.be/en/film/branches-drops-withered-blossom,Branches Drops Withered Blossom,CINEMATEK@HOME; Avila,"Rota oficial CINEMATEK@HOME para filme restaurado em plataforma externa. Acesso mediado por Avila; sinais de assinatura, aluguel, compra ou login devem ser tratados como restrição/autenticação, não como acervo aberto direto.",,Branches Drops Withered Blossom,,Patrimônio cinematográfico e cinefilia,Streaming pago/autenticado em plataforma externa
Cinémathèque royale de Belgique / CINEMATEK,cin-math-que-royale-de-belgique-cinematek,Belgium,Europe,BE-CINEMATEK,National cinematheque and external streaming access routes,https://cinematek.be/en/collections/film,True,True,https://cinematek.be/en/collections/be-film,CINEMATEK@HOME,https://www.avilafilm.be/en/film/brussels-transit,Brussels Transit,CINEMATEK@HOME; Avila,"Rota oficial CINEMATEK@HOME para filme restaurado em plataforma externa. Acesso mediado por Avila; sinais de assinatura, aluguel, compra ou login devem ser tratados como restrição/autenticação, não como acervo aberto direto.",,Brussels Transit,,Patrimônio cinematográfico e cinefilia,Streaming pago/autenticado em plataforma externa
Cinémathèque royale de Belgique / CINEMATEK,cin-math-que-royale-de-belgique-cinematek,Belgium,Europe,BE-CINEMATEK,National cinematheque and external streaming access routes,https://cinematek.be/en/collections/film,True,True,https://cinematek.be/en/collections/be-film,CINEMATEK@HOME,https://stream.sooner.be/search/Daens/type/best-match/m/daens,Daens,CINEMATEK@HOME; Sooner,"Rota oficial CINEMATEK@HOME para filme restaurado em plataforma externa. Acesso mediado por Sooner; sinais de assinatura, aluguel, compra ou login devem ser tratados como restrição/autenticação, não como acervo aberto direto.",,Daens,,Patrimônio cinematográfico e cinefilia,Streaming pago/autenticado em plataforma externa
Cinémathèque royale de Belgique / CINEMATEK,cin-math-que-royale-de-belgique-cinematek,Belgium,Europe,BE-CINEMATEK,National cinematheque and external streaming access routes,https://cinematek.be/en/collections/film,True,True,https://cinematek.be/en/collections/be-film,CINEMATEK@HOME,https://stream.sooner.be/search/Paul%20Meyer/type/director/m/deja-senvole-la-fleur-maigre,Deja Senvole La Fleur Maigre,CINEMATEK@HOME; Sooner,"Rota oficial CINEMATEK@HOME para filme restaurado em plataforma externa. Acesso mediado por Sooner; sinais de assinatura, aluguel, compra ou login devem ser tratados como restrição/autenticação, não como acervo aberto direto.",,Deja Senvole La Fleur Maigre,,Patrimônio cinematográfico e cinefilia,Streaming pago/autenticado em plataforma externa
Cinémathèque royale de Belgique / CINEMATEK,cin-math-que-royale-de-belgique-cinematek,Belgium,Europe,BE-CINEMATEK,National cinematheque and external streaming access routes,https://cinematek.be/en/collections/film,True,True,https://cinematek.be/en/collections/be-film,CINEMATEK@HOME,https://www.avilafilm.be/en/film/dimanche,Dimanche,CINEMATEK@HOME; Avila,"Rota oficial CINEMATEK@HOME para filme restaurado em plataforma externa. Acesso mediado por Avila; sinais de assinatura, aluguel, compra ou login devem ser tratados como restrição/autenticação, não como acervo aberto direto.",,Dimanche,,Patrimônio cinematográfico e cinefilia,Streaming pago/autenticado em plataforma externa
Cinémathèque royale de Belgique / CINEMATEK,cin-math-que-royale-de-belgique-cinematek,Belgium,Europe,BE-CINEMATEK,National cinematheque and external streaming access routes,https://cinematek.be/en/collections/film,True,True,https://cinematek.be/en/collections/be-film,CINEMATEK@HOME,https://www.avilafilm.be/en/film/golden-eighties,Golden Eighties,CINEMATEK@HOME; Avila,"Rota oficial CINEMATEK@HOME para filme restaurado em plataforma externa. Acesso mediado por Avila; sinais de assinatura, aluguel, compra ou login devem ser tratados como restrição/autenticação, não como acervo aberto direto.",,Golden Eighties,,Patrimônio cinematográfico e cinefilia,Streaming pago/autenticado em plataforma externa
Cinémathèque royale de Belgique / CINEMATEK,cin-math-que-royale-de-belgique-cinematek,Belgium,Europe,BE-CINEMATEK,National cinematheque and external streaming access routes,https://cinematek.be/en/collections/film,True,True,https://cinematek.be/en/collections/be-film,CINEMATEK@HOME,https://www.avilafilm.be/en/film/jeanne-dielman-23-quai-du-commerce-1080-bruxelles,Jeanne Dielman 23 Quai Du Commerce 1080 Bruxelles,CINEMATEK@HOME; Avila,"Rota oficial CINEMATEK@HOME para filme restaurado em plataforma externa. Acesso mediado por Avila; sinais de assinatura, aluguel, compra ou login devem ser tratados como restrição/autenticação, não como acervo aberto direto.",,Jeanne Dielman 23 Quai Du Commerce 1080 Bruxelles,,Patrimônio cinematográfico e cinefilia,Streaming pago/autenticado em plataforma externa
Cinémathèque royale de Belgique / CINEMATEK,cin-math-que-royale-de-belgique-cinematek,Belgium,Europe,BE-CINEMATEK,National cinematheque and external streaming access routes,https://cinematek.be/en/collections/film,True,True,https://cinematek.be/en/collections/be-film,CINEMATEK@HOME,https://stream.sooner.be/search/Jeanne%20Dielman/type/best-match/m/jeanne-dielman-23-quai-du-commerce-1080-bruxelles,Jeanne Dielman 23 Quai Du Commerce 1080 Bruxelles,CINEMATEK@HOME; Sooner,"Rota oficial CINEMATEK@HOME para filme restaurado em plataforma externa. Acesso mediado por Sooner; sinais de assinatura, aluguel, compra ou login devem ser tratados como restrição/autenticação, não como acervo aberto direto.",,Jeanne Dielman 23 Quai Du Commerce 1080 Bruxelles,,Patrimônio cinematográfico e cinefilia,Streaming pago/autenticado em plataforma externa
Cinémathèque royale de Belgique / CINEMATEK,cin-math-que-royale-de-belgique-cinematek,Belgium,Europe,BE-CINEMATEK,National cinematheque and external streaming access routes,https://cinematek.be/en/collections/film,True,True,https://cinematek.be/en/collections/be-film,CINEMATEK@HOME,https://www.avilafilm.be/en/film/la-chambre,La Chambre,CINEMATEK@HOME; Avila,"Rota oficial CINEMATEK@HOME para filme restaurado em plataforma externa. Acesso mediado por Avila; sinais de assinatura, aluguel, compra ou login devem ser tratados como restrição/autenticação, não como acervo aberto direto.",,La Chambre,,Patrimônio cinematográfico e cinefilia,Streaming pago/autenticado em plataforma externa
Cinémathèque royale de Belgique / CINEMATEK,cin-math-que-royale-de-belgique-cinematek,Belgium,Europe,BE-CINEMATEK,National cinematheque and external streaming access routes,https://cinematek.be/en/collections/film,True,True,https://cinematek.be/en/collections/be-film,CINEMATEK@HOME,https://stream.sooner.be/search/Boys%20from%20Fengkuei/type/best-match/m/les-garcons-de-fengkuei,Les Garcons De Fengkuei,CINEMATEK@HOME; Sooner,"Rota oficial CINEMATEK@HOME para filme restaurado em plataforma externa. Acesso mediado por Sooner; sinais de assinatura, aluguel, compra ou login devem ser tratados como restrição/autenticação, não como acervo aberto direto.",,Les Garcons De Fengkuei,,Patrimônio cinematográfico e cinefilia,Streaming pago/autenticado em plataforma externa
Cinémathèque royale de Belgique / CINEMATEK,cin-math-que-royale-de-belgique-cinematek,Belgium,Europe,BE-CINEMATEK,National cinematheque and external streaming access routes,https://cinematek.be/en/collections/film,True,True,https://cinematek.be/en/collections/be-film,CINEMATEK@HOME,https://stream.sooner.be/search/Manneken%20Pis/type/best-match/m/manneken-pis,Manneken Pis,CINEMATEK@HOME; Sooner,"Rota oficial CINEMATEK@HOME para filme restaurado em plataforma externa. Acesso mediado por Sooner; sinais de assinatura, aluguel, compra ou login devem ser tratados como restrição/autenticação, não como acervo aberto direto.",,Manneken Pis,,Patrimônio cinematográfico e cinefilia,Streaming pago/autenticado em plataforma externa
Cinémathèque royale de Belgique / CINEMATEK,cin-math-que-royale-de-belgique-cinematek,Belgium,Europe,BE-CINEMATEK,National cinematheque and external streaming access routes,https://cinematek.be/en/collections/film,True,True,https://cinematek.be/en/collections/be-film,CINEMATEK@HOME,https://www.avilafilm.be/en/film/monsieur-fantomas,Monsieur Fantomas,CINEMATEK@HOME; Avila,"Rota oficial CINEMATEK@HOME para filme restaurado em plataforma externa. Acesso mediado por Avila; sinais de assinatura, aluguel, compra ou login devem ser tratados como restrição/autenticação, não como acervo aberto direto.",,Monsieur Fantomas,,Patrimônio cinematográfico e cinefilia,Streaming pago/autenticado em plataforma externa
Cinémathèque royale de Belgique / CINEMATEK,cin-math-que-royale-de-belgique-cinematek,Belgium,Europe,BE-CINEMATEK,National cinematheque and external streaming access routes,https://cinematek.be/en/collections/film,True,True,https://cinematek.be/en/collections/be-film,CINEMATEK@HOME,https://www.avilafilm.be/en/film/no-home-movie,No Home Movie,CINEMATEK@HOME; Avila,"Rota oficial CINEMATEK@HOME para filme restaurado em plataforma externa. Acesso mediado por Avila; sinais de assinatura, aluguel, compra ou login devem ser tratados como restrição/autenticação, não como acervo aberto direto.",,No Home Movie,,Patrimônio cinematográfico e cinefilia,Streaming pago/autenticado em plataforma externa
Cinémathèque royale de Belgique / CINEMATEK,cin-math-que-royale-de-belgique-cinematek,Belgium,Europe,BE-CINEMATEK,National cinematheque and external streaming access routes,https://cinematek.be/en/collections/film,True,True,https://cinematek.be/en/collections/be-film,CINEMATEK@HOME,https://www.avilafilm.be/en/film/saute-ma-ville,Saute Ma Ville,CINEMATEK@HOME; Avila,"Rota oficial CINEMATEK@HOME para filme restaurado em plataforma externa. Acesso mediado por Avila; sinais de assinatura, aluguel, compra ou login devem ser tratados como restrição/autenticação, não como acervo aberto direto.",,Saute Ma Ville,,Patrimônio cinematográfico e cinefilia,Streaming pago/autenticado em plataforma externa
Cinémathèque royale de Belgique / CINEMATEK,cin-math-que-royale-de-belgique-cinematek,Belgium,Europe,BE-CINEMATEK,National cinematheque and external streaming access routes,https://cinematek.be/en/collections/film,True,True,https://cinematek.be/en/collections/be-film,CINEMATEK@HOME,https://www.avilafilm.be/en/film/tale-three-jewels,Tale Three Jewels,CINEMATEK@HOME; Avila,"Rota oficial CINEMATEK@HOME para filme restaurado em plataforma externa. Acesso mediado por Avila; sinais de assinatura, aluguel, compra ou login devem ser tratados como restrição/autenticação, não como acervo aberto direto.",,Tale Three Jewels,,Patrimônio cinematográfico e cinefilia,Streaming pago/autenticado em plataforma externa
Cinémathèque royale de Belgique / CINEMATEK,cin-math-que-royale-de-belgique-cinematek,Belgium,Europe,BE-CINEMATEK,National cinematheque and external streaming access routes,https://cinematek.be/en/collections/film,True,True,https://cinematek.be/en/collections/be-film,CINEMATEK@HOME,https://stream.sooner.be/search/Vivement%20ce%20soir/type/best-match/m/vivement-ce-soir,Vivement Ce Soir,CINEMATEK@HOME; Sooner,"Rota oficial CINEMATEK@HOME para filme restaurado em plataforma externa. Acesso mediado por Sooner; sinais de assinatura, aluguel, compra ou login devem ser tratados como restrição/autenticação, não como acervo aberto direto.",,Vivement Ce Soir,,Patrimônio cinematográfico e cinefilia,Streaming pago/autenticado em plataforma externa
Cinémathèque royale de Belgique / CINEMATEK,cin-math-que-royale-de-belgique-cinematek,Belgium,Europe,BE-CINEMATEK,National cinematheque and external streaming access routes,https://cinematek.be/en/collections/film,True,True,https://cinematek.be/en/collections/be-film,CINEMATEK@HOME,https://www.avilafilm.be/en/film/wedding-galilee,Wedding Galilee,CINEMATEK@HOME; Avila,"Rota oficial CINEMATEK@HOME para filme restaurado em plataforma externa. Acesso mediado por Avila; sinais de assinatura, aluguel, compra ou login devem ser tratados como restrição/autenticação, não como acervo aberto direto.",,Wedding Galilee,,Patrimônio cinematográfico e cinefilia,Streaming pago/autenticado em plataforma externa
Cinémathèque royale de Belgique / CINEMATEK,cin-math-que-royale-de-belgique-cinematek,Belgium,Europe,BE-CINEMATEK,National cinematheque and external streaming access routes,https://cinematek.be/en/collections/film,True,True,https://cinematek.be/en/collections/be-film,CINEMATEK@HOME,https://www.avilafilm.be/en/film/wedding-trough,Wedding Trough,CINEMATEK@HOME; Avila,"Rota oficial CINEMATEK@HOME para filme restaurado em plataforma externa. Acesso mediado por Avila; sinais de assinatura, aluguel, compra ou login devem ser tratados como restrição/autenticação, não como acervo aberto direto.",,Wedding Trough,,Patrimônio cinematográfico e cinefilia,Streaming pago/autenticado em plataforma externa
Cinémathèque royale de Belgique / CINEMATEK,cin-math-que-royale-de-belgique-cinematek,Belgium,Europe,BE-CINEMATEK,National cinematheque and external streaming access routes,https://cinematek.be/en/collections/film,True,True,https://cinematek.be/en/collections/be-film,CINEMATEK@HOME,https://www.avilafilm.be/en/film/white-flame,White Flame,CINEMATEK@HOME; Avila,"Rota oficial CINEMATEK@HOME para filme restaurado em plataforma externa. Acesso mediado por Avila; sinais de assinatura, aluguel, compra ou login devem ser tratados como restrição/autenticação, não como acervo aberto direto.",,White Flame,,Patrimônio cinematográfico e cinefilia,Streaming pago/autenticado em plataforma externa
