institution,slug,country,continent,repository_code,archive_type,cpsa_detail_url,content_available_in_source,website_available,partner_site,internal_page,status,http_code,video_links_found,embedded_signals,warning,error
Cinémathèque des Pays de Savoie et de l'Ain,cin-math-que-des-pays-de-savoie-et-de-l-ain,France,Europe,FR-CPSA,Regional audiovisual and amateur film archive,https://www.letelepherique.org/,True,True,https://www.letelepherique.org/le-catalogue-des-collections-527-0-0-0.html,https://www.letelepherique.org/,ok,200,0,0,Site institucional da Cinémathèque des Pays de Savoie et de l'Ain.,
Cinémathèque des Pays de Savoie et de l'Ain,cin-math-que-des-pays-de-savoie-et-de-l-ain,France,Europe,FR-CPSA,Regional audiovisual and amateur film archive,https://www.letelepherique.org/,True,True,https://www.letelepherique.org/le-catalogue-des-collections-527-0-0-0.html,https://www.letelepherique.org/le-catalogue-des-collections-527-0-0-0.html,ok,200,0,0,Rota pública `Le Catalogue des Collections`; rota principal de coleta.,
Cinémathèque des Pays de Savoie et de l'Ain,cin-math-que-des-pays-de-savoie-et-de-l-ain,France,Europe,FR-CPSA,Regional audiovisual and amateur film archive,https://www.letelepherique.org/,True,True,https://www.letelepherique.org/le-catalogue-des-collections-527-0-0-0.html,https://www.letelepherique.org/le-catalogue-des-collections-527-0-0-0.html,ok,200,12,0,Página 1 da listagem pública do catálogo da CPSA.,
Cinémathèque des Pays de Savoie et de l'Ain,cin-math-que-des-pays-de-savoie-et-de-l-ain,France,Europe,FR-CPSA,Regional audiovisual and amateur film archive,https://www.letelepherique.org/,True,True,https://www.letelepherique.org/le-catalogue-des-collections-527-0-0-0.html,https://www.letelepherique.org/le-catalogue-des-collections-527-0-0-2.html,ok,200,11,0,Página 2 da listagem pública do catálogo da CPSA.,
Cinémathèque des Pays de Savoie et de l'Ain,cin-math-que-des-pays-de-savoie-et-de-l-ain,France,Europe,FR-CPSA,Regional audiovisual and amateur film archive,https://www.letelepherique.org/,True,True,https://www.letelepherique.org/le-catalogue-des-collections-527-0-0-0.html,https://www.letelepherique.org/le-catalogue-des-collections-bienvenue-%C3%A0-ar%C3%AAches-527-2240-0-1.html,ok,200,1,1,Ficha pública aberta para metadados e OEmbed Diaz/CPSA.,
Cinémathèque des Pays de Savoie et de l'Ain,cin-math-que-des-pays-de-savoie-et-de-l-ain,France,Europe,FR-CPSA,Regional audiovisual and amateur film archive,https://www.letelepherique.org/,True,True,https://www.letelepherique.org/le-catalogue-des-collections-527-0-0-0.html,https://www.letelepherique.org/le-catalogue-des-collections-vieil-annecy-527-2101-0-1.html,ok,200,1,1,Ficha pública aberta para metadados e OEmbed Diaz/CPSA.,
Cinémathèque des Pays de Savoie et de l'Ain,cin-math-que-des-pays-de-savoie-et-de-l-ain,France,Europe,FR-CPSA,Regional audiovisual and amateur film archive,https://www.letelepherique.org/,True,True,https://www.letelepherique.org/le-catalogue-des-collections-527-0-0-0.html,https://www.letelepherique.org/le-catalogue-des-collections-annecy-couleur-527-9859-0-1.html,ok,200,1,1,Ficha pública aberta para metadados e OEmbed Diaz/CPSA.,
Cinémathèque des Pays de Savoie et de l'Ain,cin-math-que-des-pays-de-savoie-et-de-l-ain,France,Europe,FR-CPSA,Regional audiovisual and amateur film archive,https://www.letelepherique.org/,True,True,https://www.letelepherique.org/le-catalogue-des-collections-527-0-0-0.html,https://www.letelepherique.org/le-catalogue-des-collections-skiccourchevel-courses-ski-chamonix-527-3848-0-1.html,ok,200,1,1,Ficha pública aberta para metadados e OEmbed Diaz/CPSA.,
Cinémathèque des Pays de Savoie et de l'Ain,cin-math-que-des-pays-de-savoie-et-de-l-ain,France,Europe,FR-CPSA,Regional audiovisual and amateur film archive,https://www.letelepherique.org/,True,True,https://www.letelepherique.org/le-catalogue-des-collections-527-0-0-0.html,https://www.letelepherique.org/le-catalogue-des-collections-vie-%C3%A0-l-%C3%A9cole-religieuse-saint-michel-527-3078-0-1.html,ok,200,1,1,Ficha pública aberta para metadados e OEmbed Diaz/CPSA.,
Cinémathèque des Pays de Savoie et de l'Ain,cin-math-que-des-pays-de-savoie-et-de-l-ain,France,Europe,FR-CPSA,Regional audiovisual and amateur film archive,https://www.letelepherique.org/,True,True,https://www.letelepherique.org/le-catalogue-des-collections-527-0-0-0.html,https://www.letelepherique.org/le-catalogue-des-collections-manifestation-lutte-du-larzac-paris-c%C3%B4te-d-azur-527-1228-0-1.html,ok,200,1,1,Ficha pública aberta para metadados e OEmbed Diaz/CPSA.,
Cinémathèque des Pays de Savoie et de l'Ain,cin-math-que-des-pays-de-savoie-et-de-l-ain,France,Europe,FR-CPSA,Regional audiovisual and amateur film archive,https://www.letelepherique.org/,True,True,https://www.letelepherique.org/le-catalogue-des-collections-527-0-0-0.html,https://www.letelepherique.org/le-catalogue-des-collections-%C3%A9volution-de-la-mer-de-glace-du-massif-du-mont-blanc-l-527-11110-0-1.html,ok,200,1,1,Ficha pública aberta para metadados e OEmbed Diaz/CPSA.,
Cinémathèque des Pays de Savoie et de l'Ain,cin-math-que-des-pays-de-savoie-et-de-l-ain,France,Europe,FR-CPSA,Regional audiovisual and amateur film archive,https://www.letelepherique.org/,True,True,https://www.letelepherique.org/le-catalogue-des-collections-527-0-0-0.html,https://www.letelepherique.org/le-catalogue-des-collections-colonie-l%C3%A0-haut-1966-527-5452-0-1.html,ok,200,1,1,Ficha pública aberta para metadados e OEmbed Diaz/CPSA.,
Cinémathèque des Pays de Savoie et de l'Ain,cin-math-que-des-pays-de-savoie-et-de-l-ain,France,Europe,FR-CPSA,Regional audiovisual and amateur film archive,https://www.letelepherique.org/,True,True,https://www.letelepherique.org/le-catalogue-des-collections-527-0-0-0.html,https://www.letelepherique.org/le-catalogue-des-collections-naturisme-guadeloupe-527-1502-0-1.html,ok,200,1,1,Ficha pública aberta para metadados e OEmbed Diaz/CPSA.,
Cinémathèque des Pays de Savoie et de l'Ain,cin-math-que-des-pays-de-savoie-et-de-l-ain,France,Europe,FR-CPSA,Regional audiovisual and amateur film archive,https://www.letelepherique.org/,True,True,https://www.letelepherique.org/le-catalogue-des-collections-527-0-0-0.html,https://www.letelepherique.org/le-catalogue-des-collections-croisi%C3%A8re-tahiti-527-3705-0-1.html,ok,200,1,1,Ficha pública aberta para metadados e OEmbed Diaz/CPSA.,
Cinémathèque des Pays de Savoie et de l'Ain,cin-math-que-des-pays-de-savoie-et-de-l-ain,France,Europe,FR-CPSA,Regional audiovisual and amateur film archive,https://www.letelepherique.org/,True,True,https://www.letelepherique.org/le-catalogue-des-collections-527-0-0-0.html,https://www.letelepherique.org/le-catalogue-des-collections-rassemblement-sur-le-plateau-du-larzac-la-r%C3%A9union-527-3614-0-1.html,ok,200,1,1,Ficha pública aberta para metadados e OEmbed Diaz/CPSA.,
Cinémathèque des Pays de Savoie et de l'Ain,cin-math-que-des-pays-de-savoie-et-de-l-ain,France,Europe,FR-CPSA,Regional audiovisual and amateur film archive,https://www.letelepherique.org/,True,True,https://www.letelepherique.org/le-catalogue-des-collections-527-0-0-0.html,https://www.letelepherique.org/le-catalogue-des-collections-tennis-exposition-coloniale-527-8659-0-1.html,ok,200,1,1,Ficha pública aberta para metadados e OEmbed Diaz/CPSA.,
Cinémathèque des Pays de Savoie et de l'Ain,cin-math-que-des-pays-de-savoie-et-de-l-ain,France,Europe,FR-CPSA,Regional audiovisual and amateur film archive,https://www.letelepherique.org/,True,True,https://www.letelepherique.org/le-catalogue-des-collections-527-0-0-0.html,https://www.letelepherique.org/le-catalogue-des-collections-mariage-comm%C3%A9moration-7-bca-gli%C3%A8res-grenoble-et-autres-527-1447-0-2.html,ok,200,1,1,Ficha pública aberta para metadados e OEmbed Diaz/CPSA.,
Cinémathèque des Pays de Savoie et de l'Ain,cin-math-que-des-pays-de-savoie-et-de-l-ain,France,Europe,FR-CPSA,Regional audiovisual and amateur film archive,https://www.letelepherique.org/,True,True,https://www.letelepherique.org/le-catalogue-des-collections-527-0-0-0.html,https://www.letelepherique.org/le-catalogue-des-collections-kilifichu-527-489-0-2.html,ok,200,1,1,Ficha pública aberta para metadados e OEmbed Diaz/CPSA.,
Cinémathèque des Pays de Savoie et de l'Ain,cin-math-que-des-pays-de-savoie-et-de-l-ain,France,Europe,FR-CPSA,Regional audiovisual and amateur film archive,https://www.letelepherique.org/,True,True,https://www.letelepherique.org/le-catalogue-des-collections-527-0-0-0.html,https://www.letelepherique.org/le-catalogue-des-collections-ski-vall%C3%A9e-blanche-vallorcine-527-2560-0-2.html,ok,200,1,1,Ficha pública aberta para metadados e OEmbed Diaz/CPSA.,
Cinémathèque des Pays de Savoie et de l'Ain,cin-math-que-des-pays-de-savoie-et-de-l-ain,France,Europe,FR-CPSA,Regional audiovisual and amateur film archive,https://www.letelepherique.org/,True,True,https://www.letelepherique.org/le-catalogue-des-collections-527-0-0-0.html,https://www.letelepherique.org/le-catalogue-des-collections-pompiers-de-morzine-527-4046-0-2.html,ok,200,1,1,Ficha pública aberta para metadados e OEmbed Diaz/CPSA.,
Cinémathèque des Pays de Savoie et de l'Ain,cin-math-que-des-pays-de-savoie-et-de-l-ain,France,Europe,FR-CPSA,Regional audiovisual and amateur film archive,https://www.letelepherique.org/,True,True,https://www.letelepherique.org/le-catalogue-des-collections-527-0-0-0.html,https://www.letelepherique.org/le-catalogue-des-collections-ski-vall%C3%A9e-blanche-face-nord-des-agneaux-527-3524-0-2.html,ok,200,1,1,Ficha pública aberta para metadados e OEmbed Diaz/CPSA.,
Cinémathèque des Pays de Savoie et de l'Ain,cin-math-que-des-pays-de-savoie-et-de-l-ain,France,Europe,FR-CPSA,Regional audiovisual and amateur film archive,https://www.letelepherique.org/,True,True,https://www.letelepherique.org/le-catalogue-des-collections-527-0-0-0.html,https://www.letelepherique.org/le-catalogue-des-collections-ski-tourisme-chamonix-527-3820-0-2.html,ok,200,1,1,Ficha pública aberta para metadados e OEmbed Diaz/CPSA.,
Cinémathèque des Pays de Savoie et de l'Ain,cin-math-que-des-pays-de-savoie-et-de-l-ain,France,Europe,FR-CPSA,Regional audiovisual and amateur film archive,https://www.letelepherique.org/,True,True,https://www.letelepherique.org/le-catalogue-des-collections-527-0-0-0.html,https://www.letelepherique.org/le-catalogue-des-collections-neige-de-france-527-3828-0-2.html,ok,200,1,1,Ficha pública aberta para metadados e OEmbed Diaz/CPSA.,
Cinémathèque des Pays de Savoie et de l'Ain,cin-math-que-des-pays-de-savoie-et-de-l-ain,France,Europe,FR-CPSA,Regional audiovisual and amateur film archive,https://www.letelepherique.org/,True,True,https://www.letelepherique.org/le-catalogue-des-collections-527-0-0-0.html,https://www.letelepherique.org/le-catalogue-des-collections-camping-et-natation-au-lac-du-bourget-527-4250-0-2.html,ok,200,1,1,Ficha pública aberta para metadados e OEmbed Diaz/CPSA.,
