code,label,short_label,category_code,category_label,entity_level,coverage_level,scope,geographic_scope,audiovisual_relevance,methodological_fit,discovery_origin,source_url,already_covered_by_active_aggregator,audiovisual_probe_status,audiovisual_probe_hits,audiovisual_probe_urls,organism_status,automatic_decision,automatic_priority,automatic_reason,next_step,rule_version
cinematheque-bretagne,Cinémathèque de Bretagne,Cinémathèque de Bretagne,institution,Arquivos e instituições arquivísticas,instituição custodial,instituição individual europeia,arquivo regional audiovisual e de filmes amadores da Bretanha histórica,instituição individual europeia,"É um arquivo explicitamente audiovisual. A coleta registra fichas públicas do catálogo e iframes Diaz/OEmbed quando expostos, sem baixar mídia, sem contornar restrições e sem afirmar cobertura total do acervo preservado.",ativo,corpus já incorporado ao organismo,https://www.cinematheque-bretagne.bzh/voir-les-films-426-0-0-0.html,False,sondagem_nao_realizada,,,ativo,ja_incorporado,0,A unidade já integra o organismo e segue em atualização periódica.,manter_no_ciclo_mensal,2026-05-organismo-v1
cinematheque-francaise,Cinémathèque française / Musée du cinéma,Cinémathèque française,institution,Arquivos e instituições arquivísticas,instituição custodial,instituição individual europeia,cinemateca nacional francesa e plataforma HENRI de streaming gratuito de filmes raros,instituição individual europeia,"A Cinémathèque française declara uma coleção física com mais de 40.000 filmes, mas o corpus incorporado aqui é apenas a superfície pública HENRI, com fichas e players incorporados, sem baixar mídia, sem contornar restrições e sem afirmar cobertura total do acervo preservado.",ativo,corpus já incorporado ao organismo,https://www.cinematheque.fr/henri/,False,sondagem_nao_realizada,,,ativo,ja_incorporado,0,A unidade já integra o organismo e segue em atualização periódica.,manter_no_ciclo_mensal,2026-05-organismo-v1
cinematheque-suisse,Cinémathèque suisse,Cinémathèque suisse,institution,Arquivos e instituições arquivísticas,instituição custodial,instituição individual europeia,cinemateca nacional suíça com metadados públicos e mídia de acesso local/autorizado,instituição individual europeia,"A unidade é explicitamente cinematográfica/audiovisual. O corpus materializa metadados e localizadores oficiais de objetos digitais, mas os registros indicam acesso local/autorizado e uso sujeito a autorização, não streaming público aberto.",ativo,corpus já incorporado ao organismo,https://api.memobase.ch/recordSet/csa-001?format=Json,False,sondagem_nao_realizada,,,ativo,ja_incorporado,0,A unidade já integra o organismo e segue em atualização periódica.,manter_no_ciclo_mensal,2026-05-organismo-v1
cinememoire,Cinémémoire,Cinémémoire,institution,Arquivos e instituições arquivísticas,instituição custodial,instituição individual europeia,"cinemateca de filmes inéditos, amadores e familiares de Marseille/PACA",instituição individual europeia,"É um arquivo explicitamente audiovisual, dedicado a filmes inéditos, amadores e familiares. A coleta registra links públicos MP4 e metadados das fichas, sem baixar mídia.",ativo,corpus já incorporado ao organismo,https://cinememoire.net/recherche-simple,False,sondagem_nao_realizada,,,ativo,ja_incorporado,0,A unidade já integra o organismo e segue em atualização periódica.,manter_no_ciclo_mensal,2026-05-organismo-v1
crnogorska-kinoteka,Crnogorska Kinoteka,Crnogorska Kinoteka,institution,Arquivos e instituições arquivísticas,instituição custodial,instituição individual europeia,cinemateca nacional de Montenegro com ficha pública de vídeo no European Film Gateway,instituição individual europeia,"É uma cinemateca/arquivo fílmico nacional. O corpus incorporado é o recorte público unitário disponível no EFG, sem baixar mídia e sem afirmar cobertura total do acervo preservado.",ativo,corpus já incorporado ao organismo,https://www.europeanfilmgateway.eu/da/search-efg/ck%20crnogorska%20kinoteka,False,sondagem_nao_realizada,,,ativo,ja_incorporado,0,A unidade já integra o organismo e segue em atualização periódica.,manter_no_ciclo_mensal,2026-05-organismo-v1
czech-television,Czech Television,Czech Television,institution,Arquivos e instituições arquivísticas,instituição custodial,instituição individual europeia,televisão pública tcheca com plataforma digital audiovisual iVysílání,instituição individual europeia,"A coleta registra apenas páginas públicas de vídeo sob demanda do iVysílání. O foco é a circulação pública de audiovisual televisivo em plataforma institucional, não direitos, download de mídia ou acesso a acervos internos.",ativo,corpus já incorporado ao organismo,https://www.ceskatelevize.cz/ivysilani/,False,sondagem_nao_realizada,,,ativo,ja_incorporado,0,A unidade já integra o organismo e segue em atualização periódica.,manter_no_ciclo_mensal,2026-05-organismo-v1
dff,DFF - Deutsches Filminstitut & Filmmuseum,DFF,institution,Arquivos e instituições arquivísticas,instituição custodial,instituição individual europeia,instituto fílmico e museu com arquivo e plataforma pública filmportal.de,instituição individual europeia,"A coleta registra apenas fichas públicas de vídeo do filmportal.de, com metadados e sinal de player. Não baixa mídia, não substitui o Film Archive físico e não exaure o Bestandskatalog.",ativo,corpus já incorporado ao organismo,https://www.filmportal.de/videos,False,sondagem_nao_realizada,,,ativo,ja_incorporado,0,A unidade já integra o organismo e segue em atualização periódica.,manter_no_ciclo_mensal,2026-05-organismo-v1
dhm,Deutsches Historisches Museum / Zeughauskino,DHM,institution,Arquivos e instituições arquivísticas,instituição custodial,instituição individual europeia,museu histórico alemão com arquivo fílmico e seleção filmográfica pública do Zeughauskino,instituição individual europeia,"A coleta registra metadados filmográficos públicos e páginas de acesso, sem pressupor player aberto e sem baixar mídia. O corpus não representa o Film Archive integral do DHM.",ativo,corpus já incorporado ao organismo,https://www.dhm.de/zeughauskino/en/programs/zeughauskino-online/films-of-the-marshall-plan/,False,sondagem_nao_realizada,,,ativo,ja_incorporado,0,A unidade já integra o organismo e segue em atualização periódica.,manter_no_ciclo_mensal,2026-05-organismo-v1
dr,DR - Danmarks Radio,DR,institution,Arquivos e instituições arquivísticas,instituição televisiva pública,instituição individual europeia,emissora pública dinamarquesa com superfície audiovisual DRTV/Gensyn,instituição individual europeia,"A coleta registra apenas o recorte DRTV/Gensyn com imagem em movimento. Não baixa mídia, não incorpora materiais sem imagem em movimento e não representa o DR-arkivet integral preservado pela Biblioteca Real dinamarquesa.",ativo,corpus já incorporado ao organismo,https://www.dr.dk/drtv/gensyn,False,sondagem_nao_realizada,,,ativo,ja_incorporado,0,A unidade já integra o organismo e segue em atualização periódica.,manter_no_ciclo_mensal,2026-05-organismo-v1
deutsche-kinemathek,Deutsche Kinemathek / Museum für Film und Fernsehen,Deutsche Kinemathek,institution,Arquivos e instituições arquivísticas,instituição custodial,instituição individual europeia,"cinemateca, museu e arquivo alemão com programa público de streaming curatorial Selects",instituição individual europeia,"A coleta registra somente os filmes públicos do programa Selects, sem baixar mídia. O corpus não representa o Film Archive integral, o portal de busca completo nem rotas internas de consulta.",ativo,corpus já incorporado ao organismo,https://www.deutsche-kinemathek.de/en/online/streaming,False,sondagem_nao_realizada,,,ativo,ja_incorporado,0,A unidade já integra o organismo e segue em atualização periódica.,manter_no_ciclo_mensal,2026-05-organismo-v1
eafa,East Anglian Film Archive,EAFA,institution,Arquivos e instituições arquivísticas,instituição custodial,instituição individual europeia,"arquivo regional britânico de filme, televisão, vídeo e imagem em movimento",instituição individual europeia,"A coleta materializa somente fichas públicas retornadas pelo filtro `hasVideo=on` e confirmadas por player detectável na página de obra, sem baixar mídia e sem tratar esse recorte como totalidade do acervo preservado, licenciado, físico, institucional ou disponibilizado em plataformas parceiras.",ativo,corpus já incorporado ao organismo,https://eafa.org.uk/,False,sondagem_nao_realizada,,,ativo,ja_incorporado,0,A unidade já integra o organismo e segue em atualização periódica.,manter_no_ciclo_mensal,2026-05-organismo-v1
ecpad,ECPAD - Établissement de communication et de production audiovisuelle de la Défense,ECPAD,institution,Arquivos e instituições arquivísticas,instituição custodial,instituição individual europeia,arquivo audiovisual militar francês com catálogo público Arkothèque,instituição individual europeia,"A coleta registra metadados e fichas públicas de vídeos. O corpus separa vídeos com visual online de vídeos apenas descritos/consultáveis por mediação institucional, sem baixar mídia e sem contornar restrições.",ativo,corpus já incorporado ao organismo,https://archives.ecpad.fr/archives/consulter-les-archives-en-ligne,False,sondagem_nao_realizada,,,ativo,ja_incorporado,0,A unidade já integra o organismo e segue em atualização periódica.,manter_no_ciclo_mensal,2026-05-organismo-v1
ert,ERT - Hellenic Broadcasting Corporation Archive,ERT,institution,Arquivos e instituições arquivísticas,instituição televisiva pública,instituição individual europeia,arquivo audiovisual da emissora pública grega,instituição individual europeia,"A coleta registra apenas posts com evidência explícita de vídeo, como `Τύπος ψηφιακού αρχείου = Βίντεο` ou fonte pública MP4/HLS. Coleções sem imagem em movimento ficam fora do escopo.",ativo,corpus já incorporado ao organismo,https://archive.ert.gr/,False,sondagem_nao_realizada,,,ativo,ja_incorporado,0,A unidade já integra o organismo e segue em atualização periódica.,manter_no_ciclo_mensal,2026-05-organismo-v1
estonian_film_archive,Film Archive of the National Archives of Estonia / Arkaader,Estonian Film Archive,institution,Arquivos e instituições arquivísticas,instituição custodial,instituição individual europeia,arquivo fílmico nacional com plataforma pública de patrimônio audiovisual,instituição individual europeia,A coleta exclui materiais exclusivamente de som e se limita a registros de filme/transmissão audiovisual. O corpus diferencia metadados públicos de transmissões efetivamente expostas pela API pública do Arkaader.,ativo,corpus já incorporado ao organismo,https://arkaader.ee/landing/br/rHczO7kKnl/pbOiQfMOLr,False,sondagem_nao_realizada,,,ativo,ja_incorporado,0,A unidade já integra o organismo e segue em atualização periódica.,manter_no_ciclo_mensal,2026-05-organismo-v1
eye,Eye Filmmuseum,Eye,institution,Arquivos e instituições arquivísticas,instituição custodial,instituição individual europeia,museu e arquivo fílmico nacional com catálogo público de fragmentos de filme,instituição individual europeia,"A coleta registra somente fichas públicas marcadas pelo próprio catálogo como registros com film fragment. A ficha oficial é tratada como local público do vídeo, pois nela o player aparece condicionado ao aceite de cookies YouTube/Vimeo.",ativo,corpus já incorporado ao organismo,https://filmdatabase.eyefilm.nl/en/collection/film-history/film/all/all?f%5B0%5D=field_cm_media_filter%3Awith%20film%20fragment,False,sondagem_nao_realizada,,,ativo,ja_incorporado,0,A unidade já integra o organismo e segue em atualização periódica.,manter_no_ciclo_mensal,2026-05-organismo-v1
far,Fonds Audiovisuel de Recherche,FAR / MFNA,institution,Arquivos e instituições arquivísticas,instituição custodial,instituição individual europeia,arquivo audiovisual regional francês com catálogo público de filmes na rede Mémoire Filmique de Nouvelle-Aquitaine,instituição individual europeia,"O corpus preserva apenas registros de filme ou vídeo. Materiais sem imagem em movimento são excluídos por regra de escopo, mesmo quando aparecem na mesma infraestrutura de busca.",ativo,corpus já incorporado ao organismo,https://far.memoirefilmiquenouvelleaquitaine.fr/films,False,sondagem_nao_realizada,,,ativo,ja_incorporado,0,A unidade já integra o organismo e segue em atualização periódica.,manter_no_ciclo_mensal,2026-05-organismo-v1
fina,Filmoteka Narodowa - Instytut Audiowizualny,FINA / Ninateka,institution,Arquivos e instituições arquivísticas,instituição custodial,instituição individual europeia,arquivo nacional fílmico e audiovisual da Polônia com plataforma pública VOD Ninateka,instituição individual europeia,"O corpus usa somente a categoria pública de vídeo da Ninateka. Materiais sem imagem em movimento ficam fora do escopo, mesmo quando pertencem à mesma plataforma cultural.",ativo,corpus já incorporado ao organismo,https://ninateka.pl/ogladaj,False,sondagem_nao_realizada,,,ativo,ja_incorporado,0,A unidade já integra o organismo e segue em atualização periódica.,manter_no_ciclo_mensal,2026-05-organismo-v1
filmarchiv_austria,Filmarchiv Austria / Filmarchiv ON,Filmarchiv Austria,institution,Arquivos e instituições arquivísticas,instituição custodial,instituição individual europeia,arquivo fílmico nacional com superfície pública de streaming curatorial,instituição individual europeia,A coleta registra somente páginas de vídeo da superfície Filmarchiv ON. Materiais sem imagem em movimento ou seções não audiovisuais do site institucional ficam fora do corpus.,ativo,corpus já incorporado ao organismo,https://www.filmarchiv.at/de/filmarchiv-on,False,sondagem_nao_realizada,,,ativo,ja_incorporado,0,A unidade já integra o organismo e segue em atualização periódica.,manter_no_ciclo_mensal,2026-05-organismo-v1
filmmuseum_dusseldorf,Filmmuseum Düsseldorf / d:kult online,Filmmuseum Düsseldorf,institution,Arquivos e instituições arquivísticas,instituição custodial,instituição individual europeia,arquivo fílmico municipal com catálogo público de metadados audiovisuais e mídia de acesso restrito/local,instituição individual europeia,"A coleta registra somente fichas públicas da coleção d:kult `Audiovisuelle Dokumente zu Düsseldorf`. A página institucional do Filmarchiv descreve aproximadamente 20.000 cópias fílmicas, mas informa acesso restrito por consulta/pesquisa e possível cobrança; esse acervo físico total não é confundido com o corpus público enumerável.",ativo,corpus já incorporado ao organismo,https://emuseum.duesseldorf.de/collections/56457/audiovisuelle-dokumente-zu-dusseldorf/objects,False,sondagem_nao_realizada,,,ativo,ja_incorporado,0,A unidade já integra o organismo e segue em atualização periódica.,manter_no_ciclo_mensal,2026-05-organismo-v1
filmoteca_espanola,Filmoteca Española / PLATFO FILMO,Filmoteca Española,institution,Arquivos e instituições arquivísticas,instituição custodial,instituição individual europeia,arquivo fílmico nacional com metadados públicos PLATFO e streaming condicionado a cadastro,instituição individual europeia,"A coleta registra somente vídeos e metadados cujo campo oficial de titularidade indica Filmoteca Española. Conteúdos PLATFO de domínio público, Catalunya, Mallorca ou outros titulares ficam fora deste corpus individual e devem ser avaliados como unidades próprias quando pertinente.",ativo,corpus já incorporado ao organismo,https://filmo.platfo.es/pages/home,False,sondagem_nao_realizada,,,ativo,ja_incorporado,0,A unidade já integra o organismo e segue em atualização periódica.,manter_no_ciclo_mensal,2026-05-organismo-v1
filmoteca_valenciana,Filmoteca Valenciana / Restauraciones,Filmoteca Valenciana,institution,Arquivos e instituições arquivísticas,instituição custodial,instituição individual europeia,arquivo fílmico autonômico com subsite público de restaurações e player Vimeo,instituição individual europeia,"A coleta registra somente obras com player Vimeo público no subsite Restauraciones. O catálogo geral do IVC e rotas de visionamento, FTP, solicitação institucional ou cópia tarifada ficam documentados como contexto de acesso condicionado, mas não são tratados como vídeos públicos do corpus.",ativo,corpus já incorporado ao organismo,https://www.restauracionesfilmoteca.com/,False,sondagem_nao_realizada,,,ativo,ja_incorporado,0,A unidade já integra o organismo e segue em atualização periódica.,manter_no_ciclo_mensal,2026-05-organismo-v1
filmoteca-vasca,Filmoteca Vasca,Filmoteca Vasca,institution,Arquivos e instituições arquivísticas,instituição custodial,instituição individual europeia,arquivo fílmico basco com seção pública Multimedia e vídeos incorporados via Vimeo,instituição individual europeia,"A coleta registra somente vídeos públicos da seção Multimedia, deduplicados por ID Vimeo, sem baixar mídia e sem contornar restrições. O catálogo técnico completo da instituição permanece como fonte contextual.",ativo,corpus já incorporado ao organismo,https://filmoteka.eus/es/coleccion/multimedia,False,sondagem_nao_realizada,,,ativo,ja_incorporado,0,A unidade já integra o organismo e segue em atualização periódica.,manter_no_ciclo_mensal,2026-05-organismo-v1
filmoteca_catalunya,Filmoteca de Catalunya / PLATFO FILMO,Filmoteca de Catalunya,institution,Arquivos e instituições arquivísticas,instituição custodial,instituição individual europeia,arquivo fílmico autonômico com acervo institucional amplo e recorte público PLATFO,instituição individual europeia,"A coleta registra somente vídeos e metadados cujo campo oficial de titularidade indica Filmoteca de Catalunya. O site institucional confirma coleção fílmica muito maior, mas informa consulta integral em serviço de acesso e condições restritas/localizadas; esse acervo físico não é confundido com o corpus público PLATFO.",ativo,corpus já incorporado ao organismo,https://filmo.platfo.es/pages/home,False,sondagem_nao_realizada,,,ativo,ja_incorporado,0,A unidade já integra o organismo e segue em atualização periódica.,manter_no_ciclo_mensal,2026-05-organismo-v1
iam,Institut audiovisuel de Monaco,IAM,institution,Arquivos e instituições arquivísticas,instituição custodial,instituição individual europeia,arquivo audiovisual de Mônaco com recorte público online,instituição individual europeia,"É um instituto audiovisual. A coleta registra o recorte público online de vídeos e metadados em `/medias/`, sem baixar mídia e sem tratar esse recorte como totalidade do acervo consultável.",ativo,corpus já incorporado ao organismo,https://institut-audiovisuel.mc/wp-json/wp/v2/medias,False,sondagem_nao_realizada,,,ativo,ja_incorporado,0,A unidade já integra o organismo e segue em atualização periódica.,manter_no_ciclo_mensal,2026-05-organismo-v1
ina,Institut national de l'audiovisuel,INA,institution,Arquivos e instituições arquivísticas,instituição custodial,instituição individual,arquivo especializado em audiovisual,instituição individual,"É uma unidade institucional voltada ao audiovisual, usada para contraste com agregadores gerais.",ativo,corpus já incorporado ao organismo,https://www.ina.fr/institut-national-audiovisuel,False,sondagem_nao_realizada,,,ativo,ja_incorporado,0,A unidade já integra o organismo e segue em atualização periódica.,manter_no_ciclo_mensal,2026-05-organismo-v1
sfa,Arhiv Republike Slovenije - Slovenski filmski arhiv,SFA,institution,Arquivos e instituições arquivísticas,instituição custodial,instituição individual europeia,arquivo nacional esloveno especializado em patrimônio fílmico,instituição individual europeia,"É um arquivo explicitamente fílmico/audiovisual. A coleta registra metadados públicos de filmes no VAČ, sem baixar mídia e sem pressupor player público nas fichas.",ativo,corpus já incorporado ao organismo,https://www.gov.si/drzavni-organi/organi-v-sestavi/arhiv/o-arhivu/slovenski-filmski-arhiv/,False,sondagem_nao_realizada,,,ativo,ja_incorporado,0,A unidade já integra o organismo e segue em atualização periódica.,manter_no_ciclo_mensal,2026-05-organismo-v1
saint-etienne,Cinémathèque de Saint-Étienne,Saint-Étienne,institution,Arquivos e instituições arquivísticas,instituição custodial,instituição individual europeia,cinemateca municipal e arquivo regional de filmes de Saint-Étienne,instituição individual europeia,"É um arquivo explicitamente audiovisual. A coleta registra fichas públicas OAI/Syracuse e links MP4 públicos quando expostos, sem baixar mídia, sem contornar restrições e sem afirmar cobertura total do acervo preservado.",ativo,corpus já incorporado ao organismo,https://cinematheque.saint-etienne.fr/Default/contenu-collections-test.aspx,False,sondagem_nao_realizada,,,ativo,ja_incorporado,0,A unidade já integra o organismo e segue em atualização periódica.,manter_no_ciclo_mensal,2026-05-organismo-v1
archivegrid,ArchiveGrid,ArchiveGrid,aggregator,Agregadores arquivísticos,infraestrutura agregadora,agregador mundial,portal geral de arquivos,mundial,fonte geral com potencial audiovisual,muito_alto,linha de base metodológica do organismo,https://researchworks.oclc.org/archivegrid/about/,False,sem_evidencia_audiovisual_na_sondagem,,https://researchworks.oclc.org/archivegrid/about/,protocolado,monitoramento_protocolado_sem_incorporacao,6,"A unidade foi identificada e protocolada, mas permanece fora do corpus ativo até existir rota técnica estável de coleta comparável.",manter_aba_de_protocolo_e_retestar_rota_em_ciclo_futuro,2026-05-organismo-v1
archives-hub,Archives Hub,Archives Hub,aggregator,Agregadores arquivísticos,infraestrutura agregadora,agregador nacional,portal geral de arquivos,Reino Unido,fonte geral com potencial audiovisual,alto,linha de base metodológica do organismo,https://archiveshub.jisc.ac.uk/,False,sem_evidencia_audiovisual_na_sondagem,,https://archiveshub.jisc.ac.uk/,protocolado,monitoramento_protocolado_sem_incorporacao,6,"A unidade foi identificada e protocolada, mas permanece fora do corpus ativo até existir rota técnica estável de coleta comparável.",manter_aba_de_protocolo_e_retestar_rota_em_ciclo_futuro,2026-05-organismo-v1
francearchives,FranceArchives,FranceArchives,aggregator,Agregadores arquivísticos,infraestrutura agregadora,agregador nacional,portal geral de arquivos,França,fonte geral com potencial audiovisual,alto,linha de base metodológica do organismo,https://francearchives.gouv.fr/,False,sem_evidencia_audiovisual_na_sondagem,,https://francearchives.gouv.fr/,protocolado,monitoramento_protocolado_sem_incorporacao,6,"A unidade foi identificada e protocolada, mas permanece fora do corpus ativo até existir rota técnica estável de coleta comparável.",manter_aba_de_protocolo_e_retestar_rota_em_ciclo_futuro,2026-05-organismo-v1
iberarchivos,Iberarchivos / Observatorio Iberoamericano de Archivos,Iberarchivos,aggregator,Agregadores arquivísticos,rede/observatorio de políticas arquivísticas,rede ibero-americana,observatório de políticas públicas arquivísticas,Iberoamérica,fonte geral com potencial audiovisual indireto,medio,radar audiovisual mundial - sugestão de curadoria,https://iberarchivos.org/observatorio/,False,evidencia_audiovisual_detectada,audiovisual; audiovisuales; film; fílmico; video; vídeo,https://iberarchivos.org/observatorio/; https://iberarchivos.org/?s=audiovisual; https://iberarchivos.org/?s=video,protocolado,monitoramento_protocolado_sem_incorporacao,6,"A unidade foi protocolada como fonte de radar e curadoria, mas não como corpus porque não apresenta catálogo audiovisual coletável e comparável.",manter_aba_de_protocolo_e_usar_como_fonte_de_descoberta,2026-05-organismo-v1
